,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Key,P/B,시작,종지,다음코드,Tempo,Inversion,,,,artist,Ban,Level,Chromatic Scale,Tension,Complexity,,코드 다양,코드 다양(3화음),코드 바뀜,코드 바뀜(3화음 기준),한마디 코드수,한마디 코드수(3화음),AY~BB,EvoM,Alternative,Country,folk,pop,Dance,EDM,Techno,Rock,E-listening,Classic,Ballad,RnB/Soul,Soul,R+S,Funk,Disco,Nu Disco,Hip Hop 1,Hip Hop 2,Boombap,Trap,Jazz,Lofi,K-pop,Trot,Ppong,T+P,Children,,15634,1564,6415,1364,6545,1645,1465,1545,12151,4536,3625,6251,1214,4125,44m1,5415,1451,42151,15471,678,선택안됨,이별,사랑,인생,향수,자연,기타,,,,,,,,,,,,,,,d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,21,69,593,1327,760,696,151,755,1790,588,382,249,322,359,118,123,5,244,90,21,99,501,241,732,816,392,0,,,17,21,23,5,9,50,4,15,0,52,49,62,8,20,8,7,43,0,0,3,1086,,,,,,,,,,,,,,,,,,,,,
Canon,C,,,,,,,,G,,,,,,,,Am,,,,,,,,Em,,,,,,,,F,,,,,,,,C,,,,,,,,F,,,,,,,,G,,,,G_7,,,,C,,,,,,,,G,,,,,,,,Am,,,,,,,,Em,,,,,,,,F,,,,,,,,C,,,,,,,,F,,,,,,,,G,,,,G_7,,,,C,,,,#REF!,,0.0%,,,Canon,,,1,0%,1%,1%,1,#DIV/0!,6,31,29,#DIV/0!,3,#DIV/0!,,,,o,o,,,,o,o,o,o,,,,,,,,#DIV/0!,,,,,o,,,0,,Canon,o,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Luise Verse 1,C,,,,,,,,,,,,,,,,G/3,,,,,,,,G_7/3,,,,G/3,,,,Am,,,,,,,,,,,,Am_4,,,,Em/3,,,,,,,,,,,,,,,,F,,,,,,,,Bhdim/3,,,,,,,,Em,,,,,,,,Am,,,,,,,,D,,,,,,,,,,,,,,,,G_7_s4,,,,G,,,,,,,,,,,,C,,,,#REF!,,31.3%,,,Lake Luise Verse 1,,,,3%,4%,3%,2,#DIV/0!,10,23,22,#DIV/0!,3,#DIV/0!,,,,,,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Lake Luise Verse 1,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Lake Luise Chorus 1,F,,,,,,,,F_M7,,,,,,,,B,,,,B,,,,B_7,,,,B,,,,Em_(9),,,,,,,,B/5,,,,,,,,Em_(9)/3,,,,,,,,A,,,,A_7,,,,Dm_7,,,,Dm,,,,Dm_7,,,,,,,,G,,,,,,,,G_7,,,,G,,,,C,,,,,,,,G/5,,,,G_7/5,,,,D#dim,,,,,,,,C/3,,,,,,,,C,O,,,#REF!,,25.0%,,,Lake Luise Chorus 1,,,,15%,7%,11%,3,#DIV/0!,12,30,24,#DIV/0!,4,#DIV/0!,,,,,,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Lake Luise Chorus 1,,,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Luise Verse 2,C,,,,,,,,,,,,,,,,G/3,,,,,,,,G_7/3,,,,,,,,Am,,,,,,,,,,,,Am_4,,,,Em/3,,,,,,,,,,,,,,,,F,,,,,,,,Bhdim/3,,,,,,,,Em,,,,,,,,Am,,,,,,,,Dm,,,,,,,,,,,,,,,,G_7_s4,,,,,,,,G_7,,,,,,,,C,,,,#REF!,,31.3%,,,Lake Luise Verse 2,,,2,0%,7%,3%,4,#DIV/0!,10,24,24,#DIV/0!,3,#DIV/0!,,,,,,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Lake Luise Verse 2,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Lake Luise Chorus 2,F,,,,,,,,F_M7,,,,,,,,B,,,,,,,,B_7,,,,,,,,Em_(9),,,,,,,,B,,,,B_7,,,,Em_(9),,,,,,,,G#dim,,,,,,,,Am,,,,,,,,,,,,Am_7,,,,D_7,,,,D,,,,D_7,,,,,,,,G_s4,,,,,,,,G,,,,G_s4,,,,G_7,,,,,,,,G,,,,,,,,C,O,,,#REF!,,0.0%,,,Lake Luise Chorus 2,,,,14%,10%,12%,5,#DIV/0!,8,30,25,#DIV/0!,3,#DIV/0!,,,,,,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Lake Luise Chorus 2,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Kiss the Rain Verse 1,C,,,,C_2,,,,C,,,,,,,,Em_7,,,,Em,,,,,,,,,,,,Am_7,,,,Am_9,,,,Am_7,,,,Am_9,,,,Em,,,,,,,,,,,,,,,,F,,,,F_2,,,,F,,,,F_2,,,,C_2/3,,,,,,,,C/3,,,,,,,,Dm,,,,,,,,Dm_7,,,,Dm,,,,G_9_s4,,,,,,,,G,,,,,,,,C,,,,#REF!,,12.5%,,,Kiss the Rain Verse 1,,,1,0%,12%,6%,6,#DIV/0!,8,28,18,#DIV/0!,3,#DIV/0!,o,,,,,,,,,v,,,,,,,,,,#DIV/0!,,,,,,,,0,,Kiss the Rain Verse 1,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Kiss the Rain Verse 2,C,,,,,,,,C_2,,,,C,,,,Em_7,,,,Em,,,,,,,,,,,,Am_7,,,,,,,,Am,,,,,,,,Em,,,,,,,,,,,,,,,,F,,,,F_2,,,,F,,,,,,,,C_2/3,,,,,,,,C/3,,,,,,,,Dm_7,,,,,,,,G_7_s4,,,,G_7,,,,C_2_s4,,,,,,,,C,,,,,,,,C,,,,#REF!,,12.5%,,,Kiss the Rain Verse 2,,,2,0%,10%,5%,7,#DIV/0!,8,28,23,#DIV/0!,3,#DIV/0!,o,,,,,,,,,v,,,,,,,,,,#DIV/0!,,,,,,,,0,,Kiss the Rain Verse 2,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Kiss the Rain Chorus,F,,,,F_2,,,,F,,,,F_2,,,,C/3,,,,,,,,,,,,,,,,Dm,,,,Dm_7,,,,G_9_s4,,,,,,,,C,,,,,,,,C_2,,,,C,,,,F#hdim,,,,,,,,B/5,,,,,,,,Em,,,,,,,,A_7,,,,A,,,,Dm_7,,,,,,,,,,,,,,,,G_9_s4,,,,,,,,G,,,,,,,,C,O,,,#REF!,,18.8%,,,Kiss the Rain Chorus,,,,6%,14%,10%,8,#DIV/0!,10,27,21,#DIV/0!,3,#DIV/0!,o,,,,,,,,,m,,,,,,,,,,#DIV/0!,,,v,,,,,0,,Kiss the Rain Chorus,,,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey Jude Verse,C,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,G_s4,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,G,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,#REF!,,0.0%,,,Hey Jude Verse,,,1,0%,4%,2%,9,#DIV/0!,4,19,19,#DIV/0!,2,#DIV/0!,,,,,o,o,,,o,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Hey Jude Verse,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
